nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,disease,collection_date
NCT03903133,Endothelial Monocyte-activating Polypeptide-II in Egyptian Sickle Patients,COMPLETED,Phase 4,2016-06-01,2023-05-01,50,Ain Shams University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02867800,Abatacept for GVHD Prophylaxis After Hematopoietic Stem Cell Transplantation for Pediatric Sickle Cell Disease,COMPLETED,Phase 1,2016-07,2023-12-30,24,Monica Bhatia,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01049854,CD34+Selection for Partially Matched Family or Matched Unrelated Adult Donor Transplant,COMPLETED,Phase 2,2011-09,2018-08,20,New York Medical College,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02447627,Study of Methodologies to Measure Blood Flow and Oxygenation in Adults With Sickle Cell Disease,COMPLETED,,2015-06,2016-10,38,Bioverativ Therapeutics Inc.,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02197845,Enhancing Use of Hydroxyurea In Sickle Cell Disease Using Patient Navigators,COMPLETED,NA,2012-10,2018-12-31,353,Virginia Commonwealth University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05758766,Study on Use of Omega-3 Fatty Acids to Improve Outcomes in Individuals With Sickle Cell Disease,ACTIVE_NOT_RECRUITING,NA,2023-08-30,2026-12-30,30,University of Alabama at Birmingham,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01058473,Psychometric Evaluation of the IPPAQ in Pediatric Patients With Sickle Cell Disease Hospitalized With Vasoocclusive Pain,COMPLETED,,2010-01,2012-12,159,Connecticut Children's Medical Center,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04181944,Qualitative Survey of Potential Exercise Activity in Adults With Sickle Cell Anemia (SCA),COMPLETED,NA,2020-06-14,2022-10-01,115,Memorial Healthcare System,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00971698,The Spleen in Sickle Cell Anemia and Sickle Cell Thalassemia,COMPLETED,,2009-02,2010-08,50,"HaEmek Medical Center, Israel",OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03682211,Intranasal Fentanyl Versus Intravenous Morphine in the Treatment of Severe Painful Sickle Cell Crises in Children,COMPLETED,Phase 4,2012-12-12,2013-11-14,31,University College Dublin,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01954927,Pain Management in Children and Young Adults With Sickle Cell Disease,COMPLETED,Phase 2,2013-10-07,2018-01-03,90,St. Jude Children's Research Hospital,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04819841,Gene Correction in Autologous CD34+ Hematopoietic Stem Cells (HbS to HbA) to Treat Severe Sickle Cell Disease,RECRUITING,Phase 1; Phase 2,2021-11-15,2028-12-31,15,Kamau Therapeutics,INDUSTRY,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04523376,Pilot Study PBSCT With TCRab Depletion For Hemoglobinopathies,COMPLETED,NA,2020-05-14,2025-10-01,8,Timothy Olson,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02895841,Patient-Empowered Mobile Technology in Hospitalized Patients (TRU-PAIN),COMPLETED,NA,2016-08,2024-04-22,174,Duke University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06251843,Support Strategies for Parents During the First Year Following Their Child's Diagnosis of Sickle Cell Disorder,UNKNOWN,,2024-05,2025-02-28,30,King's College London,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04694976,"Vitamin D Status in Children With Sickle Cell Disease Living in Lyon, France",COMPLETED,,2021-02-04,2022-02-03,130,Hospices Civils de Lyon,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03492931,"PK Study of Ticagrelor in Children Aged Less Than 24 Months, With Sickle Cell Disease (HESTIA4)",COMPLETED,Phase 1,2018-03-28,2019-05-07,21,AstraZeneca,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04484272,A Stress and Pain Self-management m-Health App for Adult Outpatients With Sickle Cell Disease,RECRUITING,NA,2021-04-29,2026-06-30,185,University of Florida,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00968162,Sickle Cell Disease Conditioning for Bone Marrow Transplant,COMPLETED,Phase 1,2009-02,2016-01-11,8,Emory University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02604368,A Sickle CEll Disease ComplicatioN Trial,UNKNOWN,Phase 3,2019-03,2020-12,210,Micelle BioPharma Inc,INDUSTRY,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04416178,Sickle Cell Disease and the Genomic and Gene Therapy Needs of Stakeholders,RECRUITING,,2020-12-17,2026-12,352,St. Jude Children's Research Hospital,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01369160,Curative Versus Disease-Modifying Therapies in Children With Severe Sickle Cell Disease,COMPLETED,,2005-05,2014-03,33,Emory University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00066079,Home Based Massage and Relaxation for Sickle Cell Pain,COMPLETED,Phase 2,2003-08,2006-11,30,National Center for Complementary and Integrative Health (NCCIH),NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03666806,"Preventing Stroke Triggers in Children With Sickle Cell Anaemia in Mulago Hospital, Kampala (PREST ): a Randomized Control Trial",UNKNOWN,Phase 2; Phase 3,2018-08-22,2019-12,150,Makerere University,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01547793,Carbon Monoxide Levels and Sickle Cell Disease Severity,COMPLETED,,2012-01-26,2015-11-04,106,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01895998,Quantifying the Presence of Lung Disease and Pulmonary Hypertension in Children With Sickle Cell Disease,COMPLETED,Phase 1,2013-08,2014-04,5,Duke University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05477563,Evaluation of Efficacy and Safety of a Single Dose of CTX001 in Participants With Transfusion-Dependent β-Thalassemia and Severe Sickle Cell Disease,RECRUITING,Phase 3,2022-08-02,2027-06-09,26,Vertex Pharmaceuticals Incorporated,INDUSTRY,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03150433,Sleep and Pain in Sickle Cell Disease,COMPLETED,NA,2017-11-05,2023-10-27,57,Johns Hopkins University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03040908,New Hemolysis Parameters in Sickle Cell Disease,UNKNOWN,,2019-09-01,2022-03-01,150,Queen Fabiola Children's University Hospital,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00270478,Hydroxyurea and Erythropoietin to Treat Sickle Cell Anemia,COMPLETED,Phase 1,2005-12-21,2009-08-31,7,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02565849,Study of Ventilatory Mechanics in Patients With Sickle Cell Anemia,COMPLETED,,2013-02,2015-08,80,Rio de Janeiro State University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00040677,A Study of the Efficacy and Safety of ICA-17043 (With or Without Hydroxyurea) in Patients With Sickle Cell Anemia.,COMPLETED,Phase 2,2002-02,2004-01,90,Icagen,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05170412,Dietary Intake and Dietary Behaviors in Adults With Sickle Cell Disease,RECRUITING,,2022-05-26,2027-12-31,80,National Institutes of Health Clinical Center (CC),NIH,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01186419,Safety and Pharmacodynamic Study of an Oral Iron Chelator Given for 6 Months to Patients With Iron Overload,COMPLETED,Phase 2,2010-08-13,2013-01-08,51,Shire,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04000165,A Dose-Finding Study of AG-348 in Sickle Cell Disease,COMPLETED,EARLY_PHASE1,2019-07-11,2021-06-21,17,National Institutes of Health Clinical Center (CC),NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02630394,A Pilot Study of Azithromycin Prophylaxis for Acute Chest Syndrome in Sickle Cell Disease,WITHDRAWN,Phase 1,2015-09,2017-12-31,0,University of Mississippi Medical Center,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02946905,Neurovascular Determinants of Cognitive Function in Adults With Sickle Cell Disease,COMPLETED,,2016-04,2023-03-31,226,University of Pittsburgh,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03240731,HLA Haploidentical Bone Marrow Transplant in Patients With Severe Sickle Cell Disease,COMPLETED,Phase 2,2017-08-10,2024-04-08,25,Centre Hospitalier Intercommunal Creteil,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02813629,tDCS Associated With Peripheral Electrical Stimulation for Pain Control in Individuals With Sickle Cell Disease,UNKNOWN,Phase 2,2016-03,2022-12,120,Faculdade Adventista da Bahia,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00850018,Examining Cognitive Function and Brain Abnormalities in Adults With Sickle Cell Disease - Pilot Intervention Study,COMPLETED,Phase 1,2004-12,2010-12,36,UCSF Benioff Children's Hospital Oakland,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06506461,Gene Editing For Sickle Cell Disease,RECRUITING,Phase 1,2025-03-21,2032-12,25,St. Jude Children's Research Hospital,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04084080,Sickle Cell Disease and CardiovAscular Risk - Red Cell Exchange Trial (SCD-CARRE),ACTIVE_NOT_RECRUITING,Phase 3,2020-02-26,2026-05-31,173,University of Pittsburgh,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05228821,Voxelotor Brain Oxygenation and Neurocognitive Study,WITHDRAWN,Phase 4,2023-08-09,2023-08-23,0,Pfizer,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01279616,A Reduced Toxicity Allogeneic Unrelated Donor Stem Cell Transplantation (SCT) for Severe Sickle Cell Disease,TERMINATED,Phase 2,2010-09,2015-01,8,Nationwide Children's Hospital,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05983055,Steroid Injection for Sickle Cell Arthropathy Pain Therapy,COMPLETED,,2018-01-30,2024-03-31,50,Salem Anaesthesia Pain Clinic,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02242058,QST-Pupillometry in Sickle Cell Disease Patients,COMPLETED,,2013-08,2018-11,96,Julia Finkel,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02887118,Dense Red Blood Cells in Sickle Cell Children,TERMINATED,,2015-12,2019-07-07,82,Centre Hospitalier Intercommunal Creteil,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02863068,Topical Sodium Nitrite in Sickle Cell Disease and Leg Ulcers,TERMINATED,Phase 2,2018-04-06,2023-11-24,18,caterina P minniti,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02231710,Safety Study of Gene Modified Donor T Cell Infusion After Stem Cell Transplant for Non-Malignant Diseases,TERMINATED,Phase 1,2015-02,2018-01,1,Bellicum Pharmaceuticals,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02998450,A Study of IMR-687 in Healthy Adult Volunteers,COMPLETED,Phase 1,2016-10-18,2017-07-08,66,"Cardurion Pharmaceuticals, Inc.",INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04156893,RH Genotype Matched RBC Transfusions,RECRUITING,Phase 1; Phase 2,2020-01-30,2029-10,35,Children's Hospital of Philadelphia,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06072287,The Living With a Long-Term Condition Study,UNKNOWN,,2023-06-28,2024-01-10,600,King's College London,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04419168,Cognitive Behavioral Therapy and Real-Time Pain Management Intervention for Sickle Cell Via Mobile Applications,COMPLETED,NA,2020-08-12,2023-12-11,359,University of Pittsburgh,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03937817,Collection of Human Biospecimens for Basic and Clinical Research Into Globin Variants,RECRUITING,,2019-09-25,2029-03-31,300,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01639950,Validating Pain Scales in Children and Young Adults,COMPLETED,,2012-08-06,2023-06-28,252,National Cancer Institute (NCI),NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01603160,Improving Emergency Department Management of Adults With Sickle Cell Disease,COMPLETED,,2011-09,2014-09,715,Duke University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06139510,Predictors of Pain in Sickle Cell Disease,RECRUITING,NA,2024-07-12,2028-06,70,Duke University,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06563440,Development and Evaluation of an Information Management System and Communication System for Population-wide Point-of-care Infant Sickle Cell Disease Screening,NOT_YET_RECRUITING,NA,2024-08-21,2028-07-31,24000,Makerere University,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04364685,Effect of Walking on Sand With Dietary Intervention in Overweight Type 2 Diabetes Mellitus Patients.,COMPLETED,NA,2017-01-25,2019-09-28,66,Majmaah University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03876821,"Collect of Cord Blood From Subjects at Risk for Sickle Cell Disease, for the Purpose of Laboratory Research",COMPLETED,,2019-10-23,2023-10-23,44,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05565092,"Safety, Efficacy, Pharmacokinetic, and Pharmacodynamic Study of ALXN1820 in Adult Participants With Sickle Cell Disease",TERMINATED,Phase 2,2023-02-22,2024-01-09,2,"Alexion Pharmaceuticals, Inc.",INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03027258,Point-of-Delivery Prenatal Test Results Through mHealth to Improve Birth Outcome,UNKNOWN,NA,2016-09,2018-01,300,"University of Nevada, Las Vegas",OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05810181,Gene Therapy Communication: Use of a Needs Assessment to Drive Decision-AIDS for Gene Therapy for Rare Diseases (GENETX),RECRUITING,,2023-06-01,2027-12,145,St. Jude Children's Research Hospital,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04028700,The Impact of Oxidative Stress on Erythrocyte Biology,TERMINATED,Phase 2,2022-01-02,2024-08-16,8,"University of North Carolina, Chapel Hill",OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01419704,Phase I/II Pilot Study of Mixed Chimerism to Treat Hemoglobinopathies,WITHDRAWN,Phase 1; Phase 2,2011-05,2016-05,0,Talaris Therapeutics Inc.,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05249452,Adding Azathioprine/Hydroxyurea Preconditioning to Alemtuzumab/TBI to Reduce Risk of Graft Failure in MSD HSCT in Adult SCD Patients,COMPLETED,,2018-03-08,2024-12-01,20,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01895361,Study to Assess Safety and Impact of SelG1 With or Without Hydroxyurea Therapy in Sickle Cell Disease Patients With Pain Crises,COMPLETED,Phase 2,2013-07,2016-03,198,Reprixys Pharmaceutical Corporation,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04793854,"Sickle Cell Disease, Neurocognitive Disorders, Social Participation",COMPLETED,,2018-09-19,2019-06-03,134,Centre Hospitalier Universitaire de la Guadeloupe,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00842088,"Phase 1/2 Study to Evaluate the Safety, Tolerability and Pharmacokinetics of HQK-1001 Administered Daily in Patients With Sickle Cell Disease",COMPLETED,Phase 1; Phase 2,2009-03,,24,HemaQuest Pharmaceuticals Inc.,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04581356,Voxelotor Sickle Cell Exercise Study,COMPLETED,Phase 4,2020-09-21,2021-12-29,14,"Elizabeth Yang, MD, PhD",OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03719729,Rifaximin to Modify the Disease Course in Sickle Cell Disease,UNKNOWN,Phase 2,2018-08-22,2020-07-22,20,New York Medical College,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05775224,ASH Research Collaborative Data Hub,ENROLLING_BY_INVITATION,,2020-04-29,2099-04-29,100000,ASH Research Collaborative,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06318143,mAnaging siCkle CELl disEase Through incReased AdopTion of hydroxyurEa in Nigeria,RECRUITING,NA,2024-07-01,2028-05-31,900,New York University,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04574050,SELF-BREATHE RCT for Chronic Breathlessness,COMPLETED,NA,2021-01-11,2022-01-30,52,King's College Hospital NHS Trust,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01793740,Cognitive Rehabilitation in Sickle Cell Disease,COMPLETED,NA,2012-10,2014-07,18,Duke University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06770010,Advancing Feasibility and Acceptability of Digital Cognitive Rehabilitation in Sickle Cell Disease,RECRUITING,NA,2025-03-05,2026-04-01,50,Children's National Research Institute,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00313196,Efficacy and Safety of Bosentan in Sickle Cell Disease (SCD) Patients Diagnosed With Pulmonary Hypertension (PH),TERMINATED,Phase 3,2006-04,2007-08,12,Actelion,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00386048,Pain Management Protocol for Pediatric Sickle Cell Disease,COMPLETED,,2006-11,2012-08,50,University of South Carolina,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00029393,Induction of Stable Chimerism for Sickle Cell Anemia,COMPLETED,Phase 2,2001-08,2007-07,,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00948012,Exercise-induced Pulmonary Hypertension in Patients With Sickle-cell Anemia,COMPLETED,,2006-06,2007-11,44,Federal University of São Paulo,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00360087,A Study of Patients Having Pulmonary Hypertension Associated With Sickle Cell Disease and Completing an ASSET Study,TERMINATED,Phase 3,2006-03,2007-12,236,Actelion,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06635902,Intravenous L-Citrulline for Vaso-occlusive Pain Episode in Sickle Cell Disease,RECRUITING,Phase 2,2024-12-22,2029-03,99,Suvankar Majumdar,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00276146,Dipyridamole/Magnesium To Improve Sickle Cell Hydration,WITHDRAWN,Phase 2,2005-05,,0,"Children's Hospital Medical Center, Cincinnati",OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05451940,Hydroxyurea and EPO in Sickle Cell Disease,COMPLETED,Phase 1; Phase 2,2023-05-25,2025-02-27,17,Julia Xu,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01758250,Microvascular and Fibrosis Imaging Study,COMPLETED,,2013-02,2018-02,63,Duke University,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03933397,Comparing Individualized vs. Weight Based Protocols to Treat Vaso-Occlusive Episodes in Sickle Cell Disease,TERMINATED,Phase 3,2019-08-13,2022-05-20,328,Duke University,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01105923,Study of an Intervention to Improve Problem List Accuracy and Use,UNKNOWN,NA,2010-05,2017-11,140,Brigham and Women's Hospital,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT07000318,CS-206 in Patients With Sickle Cell Disease,NOT_YET_RECRUITING,EARLY_PHASE1,2026-09-30,2029-03-31,5,Children's Hospital of Fudan University,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06477289,Peripheral Arterial Tonometry and Neurocognition in Sickle Cell Disease,RECRUITING,,2024-09-16,2028-06,65,St. Jude Children's Research Hospital,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02675790,Moderate Dose Hydroxyurea for Secondary Stroke Prevention in Children With Sickle Cell Disease in Sub-Saharan Africa,COMPLETED,Phase 3,2017-01,2020-03-31,120,Vanderbilt University Medical Center,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03387033,Role of Virtual Reality (VR) in Patients With Sickle Cell Disease (SCD),TERMINATED,NA,2018-02-05,2019-04-25,20,Duke University,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01092169,Prevalence Of Microalbuminuria Among Children Suffering From Sickle Cell Nephropathy and Sickle Cell/Beta-Thalassemia,UNKNOWN,,,,,Hillel Yaffe Medical Center,OTHER_GOV,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03573882,Study to Assess the Effect of Long-term Treatment With Voxelotor in Participants Who Have Completed Treatment in Study GBT440-031,TERMINATED,Phase 3,2018-06-06,2024-11-12,179,Pfizer,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03978156,Dronabinol for Pain and Inflammation in Adults Living With Sickle Cell Disease,TERMINATED,Phase 1,2019-07-26,2021-01-01,6,Yale University,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT07532564,"Risk Factors, Costs, and Impacts of ED Boarding",COMPLETED,,2022-01-01,2025-12-31,30486,"University of Maryland, Baltimore",OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT01911871,Multicenter Observational Study on Myocardial Iron Overload in 3 Multitransfused Populations,COMPLETED,,2012-03,2015-03,110,Assistance Publique - Hôpitaux de Paris,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00009581,Nitric Oxide to Improve Blood Flow in Sickle Cell Disease,COMPLETED,Phase 2,2001-01,2003-01,65,National Institutes of Health Clinical Center (CC),NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT06581900,Study of Vitamin B12 Metabolism in Children With Sickle Cell Disease Exposed to MEOPA,RECRUITING,,2024-11-27,2026-12,29,CHU de Reims,OTHER,Ongoing,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00639392,Phase 1 Study of Zoledronic Acid in Sickle Cell Disease,WITHDRAWN,Phase 1; Phase 2,2007-06,2008-05,0,Virginia Commonwealth University,OTHER,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT03977532,Study of a Red Blood Cell Deformability Parameter in Patients With Sickle Cell Disease,COMPLETED,NA,2018-09-14,2023-08-03,21,Assistance Publique Hopitaux De Marseille,OTHER,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00310830,Efficacy and Safety of Bosentan in Sickle Cell Disease (SCD) Patients With Pulmonary Arterial Hypertension (PAH),TERMINATED,Phase 3,2006-03,2007-08,14,Actelion,INDUSTRY,Failure,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT00113152,Heart Disease in Sickle Cell Anemia,COMPLETED,,2005-06-02,2007-10-02,120,National Institutes of Health Clinical Center (CC),NIH,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT05153044,Severe Acute Respiratory Syndrome CoV 2 COVID-19 Survey and Vaccination Coverage in the Sickle Cell Population in Ile-De-France,UNKNOWN,NA,2021-12-30,2022-09-10,880,Assistance Publique - Hôpitaux de Paris,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT02522104,Evaluation of the Impact of Renal Function on the Pharmacokinetics of SIKLOS ® (DARH),COMPLETED,Phase 4,2015-09-03,2016-11-28,40,Theravia,INDUSTRY,Success,sickle cell disease,2026-05-24T07:38:53.345595+00:00
NCT04264871,Is the Preoperative Preparation of Sickle Cell Patients Optimal: Assessment of Practices and Post-operative Complications,UNKNOWN,,2020-01-01,2020-06-30,250,Queen Fabiola Children's University Hospital,OTHER,Unknown,sickle cell disease,2026-05-24T07:38:53.345595+00:00
